matagent,severity,nace_r2,sex,age,unit,time\geo	EU28 	EU27 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	SE 	UK 	NO 	CH 
MAT_0100,D_GE4,A,F,Y_GE55,RT_INC,2014	133.34 	133.66 	347.04 	19.89 	0 	0 	1.97 	651.66 	0 	0 	1942.53 	24.71 	52.11 	1503.17 	0 	0 	0 	0 	197.93 	0 	0 	496.13 	6.21 	56.52 	0 	0 	181.81 	115.47 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y_LT25,NR,2014	141 	141 	4 	0 	0 	0 	0 	2 	0 	0 	77 	2 	0 	33 	0 	0 	0 	0 	2 	0 	0 	9 	2 	10 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y_LT25,PC,2014	3.46 	3.46 	19.05 	0 	0 	0 	0 	16.67 	0 	0 	19.9 	0.26 	0 	19.08 	0 	0 	0 	0 	33.33 	0 	0 	24.32 	22.22 	10.03 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,F,Y_LT25,RT_INC,2014	119.63 	120.03 	557.49 	0 	0 	0 	0 	349.49 	0 	0 	848.02 	27.78 	0 	635.06 	0 	0 	0 	0 	88.75 	0 	0 	176.89 	9.66 	521.02 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,M,TOTAL,NR,2014	10174 	10097 	33 	3 	0 	0 	339 	53 	0 	0 	3798 	68 	77 	4584 	0 	4 	0 	0 	152 	0 	0 	545 	94 	297 	9 	0 	64 	55 	0 	0 	40 
MAT_0100,D_GE4,A,M,TOTAL,PC,2014	7.37 	7.33 	11.38 	5.45 	0 	0 	0.65 	24.98 	0 	0 	17.5 	0.55 	16.96 	17.92 	0 	8 	0 	0 	25.76 	0 	0 	15.22 	9.41 	5.7 	8.57 	0 	17.3 	11.96 	0 	0 	3.63 
MAT_0100,D_GE4,A,M,TOTAL,RT_INC,2014	166.19 	165.93 	236.31 	5.15 	0 	0 	15.55 	304.91 	0 	0 	1054.86 	29.86 	208.63 	781.32 	0 	25.66 	0 	0 	152.3 	0 	0 	493.87 	9.27 	117.85 	32.33 	0 	98.48 	69.3 	0 	0 	40.08 
MAT_0100,D_GE4,A,M,UNK,NR,2014	263 	263 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	249 	0 	0 	0 	0 	0 	0 	0 	0 	0 	14 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,M,UNK,PC,2014	17.93 	17.94 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	21.44 	0 	0 	0 	0 	0 	0 	0 	0 	0 	9.54 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,M,UNK,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,M,Y25-54,NR,2014	6794 	6732 	23 	1 	0 	0 	228 	29 	0 	0 	2945 	50 	62 	2712 	0 	4 	0 	0 	107 	0 	0 	300 	63 	186 	7 	0 	40 	37 	0 	0 	20 
MAT_0100,D_GE4,A,M,Y25-54,PC,2014	7.39 	7.36 	11.11 	2.56 	0 	0 	0.68 	23.87 	0 	0 	17.19 	0.6 	17.17 	17.6 	0 	10.53 	0 	0 	26.55 	0 	0 	13.47 	9.81 	5.27 	7.69 	0 	16.39 	12.88 	0 	0 	3.32 
MAT_0100,D_GE4,A,M,Y25-54,RT_INC,2014	186.78 	186.31 	232.92 	2.42 	0 	0 	19.9 	258.17 	0 	0 	1020.22 	36.07 	258.2 	681.33 	0 	34.84 	0 	0 	148.29 	0 	0 	525.77 	9.31 	223.82 	30.77 	0 	86.81 	100.62 	0 	0 	33.68 
MAT_0100,D_GE4,A,M,Y_GE55,NR,2014	2380 	2367 	5 	2 	0 	0 	83 	12 	0 	0 	475 	12 	13 	1385 	0 	0 	0 	0 	36 	0 	0 	215 	23 	78 	2 	0 	21 	18 	0 	0 	0 
MAT_0100,D_GE4,A,M,Y_GE55,PC,2014	8.09 	8.06 	15.63 	16.67 	0 	0 	0.66 	21.43 	0 	0 	19.16 	0.76 	21.67 	18.4 	0 	0 	0 	0 	33.03 	0 	0 	19.15 	8.65 	6.96 	20 	0 	19.44 	13.79 	0 	0 	0 
MAT_0100,D_GE4,A,M,Y_GE55,RT_INC,2014	118.15 	118.15 	373.18 	16.58 	0 	0 	9.54 	277.14 	0 	0 	1184.89 	22.18 	118.89 	855.37 	0 	0 	0 	0 	185.64 	0 	0 	516.91 	8.61 	48.46 	65.47 	0 	127.27 	49.34 	0 	0 	0 
MAT_0100,D_GE4,A,M,Y_LT25,NR,2014	736 	734 	5 	0 	0 	0 	28 	12 	0 	0 	378 	6 	2 	237 	0 	0 	0 	0 	9 	0 	0 	30 	8 	19 	0 	0 	3 	0 	0 	0 	20 
MAT_0100,D_GE4,A,M,Y_LT25,PC,2014	4.8 	4.8 	9.8 	0 	0 	0 	0.45 	35.17 	0 	0 	18.09 	0.24 	6.25 	16.05 	0 	0 	0 	0 	11.54 	0 	0 	12.99 	8.79 	4.56 	0 	0 	16.67 	0 	0 	0 	5 
MAT_0100,D_GE4,A,M,Y_LT25,RT_INC,2014	156.64 	156.87 	181.77 	0 	0 	0 	17.2 	697.35 	0 	0 	1207.84 	17.14 	101.97 	890.54 	0 	0 	0 	0 	109.05 	0 	0 	256.37 	11.54 	214.37 	0 	0 	124.66 	0 	0 	0 	237.59 
MAT_0100,D_GE4,A,T,TOTAL,NR,2014	13845 	13756 	50 	5 	0 	0 	348 	82 	0 	0 	4766 	83 	89 	6636 	0 	5 	0 	0 	197 	0 	0 	852 	136 	424 	10 	0 	89 	73 	0 	0 	40 
MAT_0100,D_GE4,A,T,TOTAL,PC,2014	8.01 	7.98 	13.93 	8.47 	0 	0 	0.53 	21.89 	0 	0 	18.2 	0.52 	17.49 	20.39 	0 	7.58 	0 	0 	26.23 	0 	0 	18.25 	11.28 	6.72 	8.93 	0 	18.58 	11.42 	0 	0 	2.77 
MAT_0100,D_GE4,A,T,TOTAL,RT_INC,2014	149.98 	149.9 	239.96 	6.15 	0 	0 	10.6 	341.4 	0 	0 	997.33 	26.37 	163.26 	817.45 	0 	22.46 	0 	0 	147.43 	0 	0 	428.3 	7.91 	108.94 	8.65 	0 	107.69 	72.57 	0 	0 	25.81 
MAT_0100,D_GE4,A,T,UNK,NR,2014	312 	311 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	297 	0 	0 	0 	0 	0 	0 	0 	0 	0 	14 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,T,UNK,PC,2014	19.34 	19.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	50 	23.51 	0 	0 	0 	0 	0 	0 	0 	0 	0 	9.22 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,T,UNK,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,T,Y25-54,NR,2014	8955 	8884 	32 	2 	0 	0 	228 	45 	0 	0 	3672 	61 	71 	3786 	0 	5 	0 	0 	137 	0 	0 	457 	94 	254 	8 	0 	57 	46 	0 	0 	20 
MAT_0100,D_GE4,A,T,Y25-54,PC,2014	7.83 	7.8 	12.9 	4.88 	0 	0 	0.54 	20.69 	0 	0 	17.78 	0.56 	17.4 	19.39 	0 	10 	0 	0 	26.1 	0 	0 	16.11 	11.91 	5.9 	8.16 	0 	17.92 	11.8 	0 	0 	2.62 
MAT_0100,D_GE4,A,T,Y25-54,RT_INC,2014	158.81 	158.6 	215.11 	3.43 	0 	0 	13.01 	287.49 	0 	0 	944.03 	28.99 	190.05 	678.16 	0 	29.74 	0 	0 	141.02 	0 	0 	407.59 	7.72 	194.67 	8.56 	0 	97.58 	96.01 	0 	0 	21.62 
MAT_0100,D_GE4,A,T,Y_GE55,NR,2014	3700 	3685 	9 	3 	0 	0 	93 	23 	0 	0 	639 	14 	15 	2282 	0 	0 	0 	0 	49 	0 	0 	356 	32 	127 	2 	0 	29 	26 	0 	0 	0 
MAT_0100,D_GE4,A,T,Y_GE55,PC,2014	9.87 	9.85 	23.08 	23.08 	0 	0 	0.59 	20.92 	0 	0 	20.83 	0.69 	23.08 	22.6 	0 	0 	0 	0 	34.51 	0 	0 	22.75 	10.09 	9.47 	20 	0 	20.71 	16.22 	0 	0 	0 
MAT_0100,D_GE4,A,T,Y_GE55,RT_INC,2014	123.16 	123.26 	361.1 	17.55 	0 	0 	6.88 	384.24 	0 	0 	1316.69 	22.51 	101.35 	1029.78 	0 	0 	0 	0 	188.75 	0 	0 	508.48 	7.76 	51.32 	16.82 	0 	138.75 	60.98 	0 	0 	0 
MAT_0100,D_GE4,A,T,Y_LT25,NR,2014	877 	875 	9 	0 	0 	0 	28 	14 	0 	0 	455 	8 	2 	270 	0 	0 	0 	0 	11 	0 	0 	39 	10 	29 	0 	0 	3 	0 	0 	0 	20 
MAT_0100,D_GE4,A,T,Y_LT25,PC,2014	4.52 	4.51 	12.5 	0 	0 	0 	0.34 	30.2 	0 	0 	18.38 	0.25 	5.88 	16.37 	0 	0 	0 	0 	13.1 	0 	0 	14.55 	10 	5.61 	0 	0 	14.29 	0 	0 	0 	3.7 
MAT_0100,D_GE4,A,T,Y_LT25,RT_INC,2014	149.23 	149.49 	259.5 	0 	0 	0 	14.72 	607.74 	0 	0 	1126.92 	18.95 	84.95 	848.83 	0 	0 	0 	0 	104.7 	0 	0 	232.28 	11.11 	268.52 	0 	0 	90.14 	0 	0 	0 	146.94 
MAT_0100,D_GE4,A,UNK,TOTAL,NR,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,TOTAL,PC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,TOTAL,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,UNK,NR,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,UNK,PC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,UNK,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y25-54,NR,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y25-54,PC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y25-54,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y_GE55,NR,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y_GE55,PC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y_GE55,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y_LT25,NR,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y_LT25,PC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A,UNK,Y_LT25,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,F,TOTAL,NR,2014	89638 	89337 	1553 	119 	0 	0 	32919 	386 	0 	0 	14490 	18098 	301 	12136 	0 	71 	0 	0 	1097 	2 	0 	2393 	2572 	2185 	115 	0 	384 	817 	0 	0 	1040 
MAT_0100,D_GE4,A_C-N,F,TOTAL,PC,2014	17.09 	17.11 	17.77 	27.42 	0 	0 	24.15 	22.39 	0 	0 	19.96 	16.2 	12.32 	23.33 	0 	18.73 	0 	0 	24.03 	0.86 	0 	25.94 	16.15 	8.42 	17.88 	0 	19.72 	16.83 	0 	0 	8.91 
MAT_0100,D_GE4,A_C-N,F,TOTAL,RT_INC,2014	163.77 	164.36 	135.57 	13.2 	0 	0 	245.18 	212.04 	0 	0 	392.23 	363.78 	78.95 	229.06 	0 	25.14 	0 	0 	107.85 	5.09 	0 	203.45 	56.46 	176.11 	5.17 	0 	62.08 	87.24 	0 	0 	97.23 
MAT_0100,D_GE4,A_C-N,F,UNK,NR,2014	155 	154 	16 	0 	0 	0 	41 	0 	0 	0 	0 	0 	1 	72 	0 	0 	0 	0 	0 	0 	0 	0 	0 	25 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,F,UNK,PC,2014	18.36 	18.35 	8.94 	0 	0 	0 	33 	0 	0 	0 	0 	0 	20 	47.25 	0 	0 	0 	0 	0 	0 	0 	0 	0 	12.27 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,F,UNK,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,F,Y25-54,NR,2014	61940 	61715 	1145 	83 	0 	0 	20729 	232 	0 	0 	11223 	12945 	225 	8641 	0 	32 	0 	0 	786 	2 	0 	1641 	1858 	1482 	89 	0 	287 	539 	0 	0 	740 
MAT_0100,D_GE4,A_C-N,F,Y25-54,PC,2014	16.42 	16.45 	17.79 	25.62 	0 	0 	23.42 	21.88 	0 	0 	19.07 	15.72 	11.53 	21.82 	0 	13.91 	0 	0 	23.5 	1.28 	0 	27.23 	15.09 	7.39 	17.87 	0 	19.64 	16.9 	0 	0 	9.75 
MAT_0100,D_GE4,A_C-N,F,Y25-54,RT_INC,2014	149.56 	150.22 	124.6 	11.51 	0 	0 	219.79 	186.16 	0 	0 	355.52 	331.39 	68.17 	197.29 	0 	15.44 	0 	0 	96.48 	7.14 	0 	188.78 	51.54 	158.35 	4.59 	0 	56.8 	83.04 	0 	0 	100.41 
MAT_0100,D_GE4,A_C-N,F,Y_GE55,NR,2014	19672 	19612 	218 	35 	0 	0 	8847 	141 	0 	0 	2505 	2881 	60 	2954 	0 	33 	0 	0 	234 	0 	0 	437 	531 	504 	14 	0 	77 	200 	0 	0 	140 
MAT_0100,D_GE4,A_C-N,F,Y_GE55,PC,2014	24.69 	24.71 	27.32 	40.7 	0 	0 	33.53 	32.74 	0 	0 	27.27 	23.29 	19.87 	31.67 	0 	32.04 	0 	0 	36.39 	0 	0 	37 	25.6 	15.8 	24.14 	0 	29.28 	22.44 	0 	0 	9.07 
MAT_0100,D_GE4,A_C-N,F,Y_GE55,RT_INC,2014	253.53 	253.8 	186.83 	27.41 	0 	0 	342.09 	350.57 	0 	0 	809.55 	526.28 	188.34 	452.99 	0 	63.83 	0 	0 	184.02 	0 	0 	331.66 	88.61 	239.23 	7.27 	0 	109.33 	149.04 	0 	0 	79.59 
MAT_0100,D_GE4,A_C-N,F,Y_LT25,NR,2014	7872 	7857 	174 	1 	0 	0 	3302 	13 	0 	0 	762 	2272 	15 	468 	0 	6 	0 	0 	77 	0 	0 	315 	183 	174 	12 	0 	20 	77 	0 	0 	160 
MAT_0100,D_GE4,A_C-N,F,Y_LT25,PC,2014	11.78 	11.79 	13.13 	4.17 	0 	0 	15.52 	5.53 	0 	0 	16.7 	13.39 	8.11 	15.97 	0 	13.04 	0 	0 	13.32 	0 	0 	15.61 	11.9 	6.96 	13.79 	0 	8.97 	10.07 	0 	0 	6.3 
MAT_0100,D_GE4,A_C-N,F,Y_LT25,RT_INC,2014	141.55 	141.77 	158.22 	1.9 	0 	0 	234.26 	75.03 	0 	0 	334.02 	435.88 	77.66 	176 	0 	25.54 	0 	0 	102.22 	0 	0 	179.79 	52.08 	185.16 	12.93 	0 	46.69 	50.68 	0 	0 	102.07 
MAT_0100,D_GE4,A_C-N,M,TOTAL,NR,2014	199769 	199074 	4629 	124 	0 	0 	76221 	547 	0 	0 	30338 	37276 	695 	30120 	0 	107 	0 	0 	2106 	54 	0 	6800 	4301 	3786 	153 	0 	683 	1829 	0 	0 	3281 
MAT_0100,D_GE4,A_C-N,M,TOTAL,PC,2014	10.81 	10.82 	12.19 	9.27 	0 	0 	13.41 	14.92 	0 	0 	14.1 	10.47 	10.61 	15.08 	0 	10.39 	0 	0 	18.55 	2.65 	0 	15.55 	9.89 	4.44 	6.22 	0 	12.61 	11.09 	0 	0 	5.29 
MAT_0100,D_GE4,A_C-N,M,TOTAL,RT_INC,2014	222.68 	223.36 	267.34 	11.11 	0 	0 	372.69 	202.08 	0 	0 	565.21 	409.3 	119.06 	284.08 	0 	29.28 	0 	0 	136.75 	63.98 	0 	381.61 	59.12 	198.28 	9.5 	0 	61.7 	94.9 	0 	0 	173.84 
MAT_0100,D_GE4,A_C-N,M,UNK,NR,2014	584 	583 	147 	0 	0 	0 	108 	0 	0 	0 	0 	2 	1 	301 	0 	0 	0 	0 	0 	0 	0 	0 	0 	24 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,M,UNK,PC,2014	12.35 	12.39 	15.08 	0 	0 	0 	12.43 	0 	0 	0 	0 	1.49 	4.76 	20.84 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2.89 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,M,UNK,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,M,Y25-54,NR,2014	147494 	146949 	3545 	88 	0 	0 	53448 	357 	0 	0 	24860 	28099 	545 	22300 	0 	74 	0 	0 	1514 	44 	0 	4809 	3120 	2859 	115 	0 	489 	1228 	0 	0 	2180 
MAT_0100,D_GE4,A_C-N,M,Y25-54,PC,2014	10.95 	10.95 	12.42 	9.08 	0 	0 	13.85 	14.99 	0 	0 	13.96 	10.47 	10.94 	14.79 	0 	10.74 	0 	0 	19.01 	2.93 	0 	16.5 	9.87 	4.37 	6.13 	0 	12.92 	11.22 	0 	0 	5.19 
MAT_0100,D_GE4,A_C-N,M,Y25-54,RT_INC,2014	222.01 	222.71 	259.82 	10.28 	0 	0 	375.19 	177.76 	0 	0 	554.67 	394.81 	119.62 	268.74 	0 	27.45 	0 	0 	124.18 	73.87 	0 	370.41 	57.46 	207.59 	8.66 	0 	56.19 	92.77 	0 	0 	169.95 
MAT_0100,D_GE4,A_C-N,M,Y_GE55,NR,2014	31507 	31401 	365 	29 	0 	0 	13729 	129 	0 	0 	3730 	4236 	106 	5886 	0 	24 	0 	0 	353 	5 	0 	828 	804 	662 	25 	0 	125 	471 	0 	0 	560 
MAT_0100,D_GE4,A_C-N,M,Y_GE55,PC,2014	12.49 	12.49 	13.43 	12.03 	0 	0 	15.55 	20.02 	0 	0 	15.7 	12.75 	12.17 	17.72 	0 	15.09 	0 	0 	25.99 	1.68 	0 	18.42 	12.96 	5.7 	7.72 	0 	16.23 	13.3 	0 	0 	8.42 
MAT_0100,D_GE4,A_C-N,M,Y_GE55,RT_INC,2014	211.33 	211.85 	175.93 	15.63 	0 	0 	341.12 	264.37 	0 	0 	635.81 	393.67 	122.34 	327.39 	0 	39.2 	0 	0 	178.8 	35.09 	0 	331.85 	65.26 	155.67 	13.89 	0 	80.16 	123.34 	0 	0 	154.04 
MAT_0100,D_GE4,A_C-N,M,Y_LT25,NR,2014	20184 	20141 	572 	7 	0 	0 	8936 	61 	0 	0 	1747 	4939 	43 	1633 	0 	9 	0 	0 	239 	5 	0 	1163 	377 	240 	13 	0 	69 	131 	0 	0 	541 
MAT_0100,D_GE4,A_C-N,M,Y_LT25,PC,2014	8.32 	8.32 	9.98 	5.47 	0 	0 	9.55 	9.54 	0 	0 	13.03 	9.06 	6.33 	11.4 	0 	4.95 	0 	0 	11.78 	2.06 	0 	11.51 	6.65 	3.26 	5.02 	0 	7.99 	6.5 	0 	0 	4.05 
MAT_0100,D_GE4,A_C-N,M,Y_LT25,RT_INC,2014	241.32 	242 	358.42 	9.3 	0 	0 	409.65 	288.3 	0 	0 	584.62 	540.25 	103.54 	322.23 	0 	25.99 	0 	0 	193.73 	47.2 	0 	496.78 	61.44 	225.2 	12.82 	0 	85.45 	58.78 	0 	0 	224.37 
MAT_0100,D_GE4,A_C-N,T,TOTAL,NR,2014	289407 	288411 	6182 	243 	0 	0 	109140 	934 	0 	0 	44828 	55374 	996 	42256 	0 	178 	0 	0 	3203 	56 	0 	9193 	6873 	5970 	268 	0 	1067 	2646 	0 	0 	4321 
MAT_0100,D_GE4,A_C-N,T,TOTAL,PC,2014	12.2 	12.21 	13.24 	13.71 	0 	0 	15.48 	17.31 	0 	0 	15.58 	11.84 	11.07 	16.78 	0 	12.63 	0 	0 	20.12 	2.46 	0 	17.36 	11.57 	5.37 	8.64 	0 	14.49 	12.4 	0 	0 	5.86 
MAT_0100,D_GE4,A_C-N,T,TOTAL,RT_INC,2014	200.36 	201.01 	214.87 	12.04 	0 	0 	322.15 	206.09 	0 	0 	494.69 	393.22 	103.19 	265.75 	0 	27.48 	0 	0 	125.25 	45.26 	0 	310.77 	58.09 	189.55 	6.99 	0 	61.84 	92.4 	0 	0 	146.13 
MAT_0100,D_GE4,A_C-N,T,UNK,NR,2014	739 	737 	163 	0 	0 	0 	150 	0 	0 	0 	0 	2 	2 	373 	0 	0 	0 	0 	0 	0 	0 	0 	0 	49 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,T,UNK,PC,2014	12.89 	12.92 	14.12 	0 	0 	0 	15.02 	0 	0 	0 	0 	1.11 	7.69 	23.37 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4.71 	0 	0 	0 	0 	0 	0 	0 
MAT_0100,D_GE4,A_C-N,T,UNK,RT_INC,2014	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
